dialect_city_id	dialect_province_id	dialect_country_id	dialect_region_id
manama	capital	bh	gulf
abu_dhabi	abu_dhabi	ae	gulf
dubai	dubai	ae	gulf
fujairah	fujairah	ae	gulf
ras_al_khaimah	ras_al_khaimah	ae	gulf
umm_al_quwain	umm_al_quwain	ae	gulf
hawalli	hawalli	kw	gulf
jahra	jahra	kw	gulf
nizwa	ad_dakhiliyah	om	gulf
sohar	al_batinah	om	gulf
sur	ash_sharqiyah	om	gulf
salalah	dhofar	om	gulf
khasab	musandam	om	gulf
muscat	muscat	om	gulf
doha	doha	qa	gulf
al_rayyan	al_rayyan	qa	gulf
al_madinah	al_madinah	sa	gulf
abha	asir	sa	gulf
hail	hail	sa	gulf
jizan	jizan	sa	gulf
najran	najran	sa	gulf
riyadh	riyadh	sa	gulf
tabuk	tabuk	sa	gulf
djibouti	djibouti	dj	gulf_aden
mogadishu	banadir	so	gulf_aden
aden	aden	ye	gulf_aden
al_hudaydah	al_hudaydah	ye	gulf_aden
dhamar	dhamar	ye	gulf_aden
ibb	ibb	ye	gulf_aden
sanaa	sanaa	ye	gulf_aden
ramadi	al_anbar	iq	gulf
baghdad	baghdad	iq	gulf
basra	basra	iq	gulf
duhok	duhok	iq	gulf
erbil	erbil	iq	gulf
karbala	karbala	iq	gulf
amarah	maysan	iq	gulf
samawah	muthanna	iq	gulf
najaf	najaf	iq	gulf
mosul	nineveh	iq	gulf
sulaymaniyah	sulaymaniyah	iq	gulf
kut	wasit	iq	gulf
amman	amman	jo	levant
aqaba	aqaba	jo	levant
salt	balqa	jo	levant
zarqa	zarqa	jo	levant
halba	akkar	lb	levant
beirut	beirut	lb	levant
tripoli	north_lebanon	lb	levant
sidon	south_lebanon	lb	levant
gaza	gaza	ps	levant
jerusalem	west_bank	ps	levant
al_suwayda	al_suwayda	sy	levant
aleppo	aleppo	sy	levant
damascus	damascus	sy	levant
homs	homs	sy	levant
latakia	latakia	sy	levant
algiers	algiers	dz	maghreb
annaba	annaba	dz	maghreb
bechar	bechar	dz	maghreb
bordj_bou_arreridj	bordj_bou_arreridj	dz	maghreb
bouira	bouira	dz	maghreb
jijel	jijel	dz	maghreb
khenchela	khenchela	dz	maghreb
oran	oran	dz	maghreb
ouargla	ouargla	dz	maghreb
benghazi	benghazi	ly	maghreb
tobruk	butnan	ly	maghreb
bayda	jabal_al_akhdar	ly	maghreb
misrata	misrata	ly	maghreb
tripoli	tripoli	ly	maghreb
fes	fes_meknes	ma	maghreb
marrakesh	marrakesh-safi	ma	maghreb
oujda	oriental	ma	maghreb
rabat	rabat_sale_kenitra	ma	maghreb
agadir	souss_massa	ma	maghreb
nouakchott	nouakchott	mr	maghreb
ariana	ariana	tn	maghreb
kairouan	kairouan	tn	maghreb
mahdia	mahdia	tn	maghreb
sfax	sfax	tn	maghreb
sousse	sousse	tn	maghreb
tunis	tunis	tn	maghreb
msa	msa	msa	msa
alexandria	alexandria	eg	nile_basin
aswan	aswan	eg	nile_basin
asyut	asyut	eg	nile_basin
damanhur	beheira	eg	nile_basin
beni_suef	beni_suef	eg	nile_basin
cairo	cairo	eg	nile_basin
mansoura	dakahlia	eg	nile_basin
faiyum	faiyum	eg	nile_basin
tanta	gharbia	eg	nile_basin
giza	giza	eg	nile_basin
ismailia	ismailia	eg	nile_basin
kafr_el_sheikh	kafr_el_sheikh	eg	nile_basin
luxor	luxor	eg	nile_basin
minya	minya	eg	nile_basin
shibin_el_kom	monufia	eg	nile_basin
el_arish	north_sinai	eg	nile_basin
port_said	port_said	eg	nile_basin
qena	qena	eg	nile_basin
hurghada	red_sea	eg	nile_basin
zagazig	sharqia	eg	nile_basin
girga	sohag	eg	nile_basin
el_tor	south_sinai	eg	nile_basin
suez	suez	eg	nile_basin
khartoum	khartoum	sd	nile_basin
mosul	north_iraq	iq	gulf
basra	south_iraq	iq	gulf
buraidah	al_quassim	sa	gulf
dammam	ash_sharqiyyah	sa	gulf
jeddah	makkah	sa	gulf
makkah	makkah	sa	gulf
kuwait_city	capital	kw	gulf
meknes	meknes_tafilalet	ma	maghreb
tangier	tanger_tetouan	ma	maghreb
